"variable","shapiro_p"
"funcleaf_area",0.756106305815777
"node_number",0.047721980297163
"leafbiomass",0.22671618704913
"stembiomass",0.880900474061457
"rootbiomass",0.179434254605248
"totalbiomass",0.443781719848529
